mean,std,max,min,range,median,var,num_peaks,hr,hrv,label
0.015578729796499999,0.4390100869467116,0.795916123,-0.910114504,1.706030627,0.033323424500000004,0.19272985644095927,81,2.4096385542168677,4.938623289946299,0
0.017504248437499998,0.4375682167378454,0.853140662,-0.930692575,1.783833237,0.040069600999999996,0.19146594429913807,79,2.345864661654135,5.130400171249779,0
0.014926633933000005,0.4414761420085043,0.828717882,-0.92991453,1.7586324119999999,0.038146434,0.19490118396271305,82,2.4607594936708863,4.910477337775234,0
0.01850027726250002,0.44092658508996874,0.892737941,-0.946568867,1.839306808,0.0386950955,0.19441625343910146,80,2.3963599595551064,5.0124983991908385,0
0.014503332379499995,0.44014398538270144,0.86503089,-0.965542996,1.830573886,0.021362283000000003,0.1937267278685677,80,2.3759398496240602,5.283047534463609,0
0.013201135713499994,0.44049028674864854,0.832634948,-0.948390815,1.7810257630000002,0.0260975065,0.1940316927199066,81,2.4439918533604885,4.571378347938398,0
0.015007469787500003,0.44140426666142074,0.838877819,-0.905404201,1.74428202,0.0177210725,0.19483772662690665,78,2.3251132360342224,5.403315386856772,0
0.0036123975689999997,0.42517521476626513,0.656645349,-0.66002845,1.3166737990000001,0.009380701,0.1807739632515397,89,2.6653205451792026,3.219240163672937,0
0.003199638508999998,0.4254459642514323,0.651285369,-0.645922342,1.297207711,0.009893684,0.181004268497831,87,2.6047450782433117,3.7274833283629003,0
0.0030570564664999943,0.425419398207867,0.652455757,-0.64868247,1.301138227,0.007161551,0.18098166437154373,87,2.612658227848101,3.5221811239912277,0
0.0037023478709999917,0.4244959029968489,0.645950356,-0.650565787,1.2965161429999998,0.006798439999999999,0.18019677166111017,87,2.60343087790111,4.331890872232882,0
0.017288976175499998,0.4458240734263206,0.831679223,-0.941604301,1.773283524,0.0323627435,0.19875910444643727,82,2.464503042596349,5.538107030133477,1
0.0028331356750000013,0.42433275859016556,0.665068994,-0.646708368,1.311777362,0.009422091,0.18005829001273974,85,2.5313912606730287,4.19688025262519,0
