time,ppg,phase
0.0,0.37783421429125436,baseline
0.010000333344444815,0.650205299857495,baseline
0.02000066668888963,0.7576335843521649,baseline
0.030001000033334446,0.7896745908091402,baseline
0.04000133337777926,0.7979353754708678,baseline
0.05000166672222407,0.9625568566691098,baseline
0.06000200006666889,1.0423905787391112,baseline
0.0700023334111137,1.1737603962910903,baseline
0.08000266675555852,1.0484163085519893,baseline
0.09000300010000334,0.8548599206678767,baseline
0.10000333344444814,1.1815404010022432,baseline
0.11000366678889296,1.0623896781889348,baseline
0.12000400013333778,1.069152084255133,baseline
0.1300043334777826,0.8941443563223712,baseline
0.1400046668222274,1.1574468268172655,baseline
0.15000500016667223,0.9612670758372528,baseline
0.16000533351111704,0.9834693232359133,baseline
0.17000566685556184,0.8803520931252923,baseline
0.18000600020000668,0.846807576369218,baseline
0.19000633354445148,0.559452718195429,baseline
0.2000066668888963,0.577445373801763,baseline
0.21000700023334112,0.7584997332808834,baseline
0.22000733357778593,0.7223661643394922,baseline
0.23000766692223074,0.4030940250703191,baseline
0.24000800026667557,0.5535755937760345,baseline
0.25000833361112035,0.6352978955977869,baseline
0.2600086669555652,0.5006418197731363,baseline
0.27000900030001,0.4447068064506532,baseline
0.2800093336444548,0.6268827203402914,baseline
0.29000966698889963,0.5574474982924238,baseline
0.30001000033334446,0.42613201164916126,baseline
0.31001033367778924,0.5015705703698212,baseline
0.3200106670222341,0.4519792991066218,baseline
0.3300110003666789,0.32566696701327935,baseline
0.3400113337111237,0.36645669315496165,baseline
0.3500116670555685,0.5401296478491615,baseline
0.36001200040001335,0.27462529505850286,baseline
0.37001233374445813,0.44655293937416657,baseline
0.38001266708890297,0.5926068397054348,baseline
0.3900130004333478,0.16629986555615633,baseline
0.4000133337777926,0.5193167387599236,baseline
0.4100136671222374,0.5004209707120323,baseline
0.42001400046668225,0.4585629716946729,baseline
0.430014333811127,0.281858530982481,baseline
0.44001466715557186,0.2798620109250708,baseline
0.4500150005000167,0.21361025829244734,baseline
0.46001533384446147,0.35152753080405397,baseline
0.4700156671889063,0.1873648088724313,baseline
0.48001600053335114,0.029043189520870094,baseline
0.4900163338777959,-0.01700021163189286,baseline
