time,ppg,phase
0.0,0.5549182628140635,baseline
0.010000333344444815,0.7547253685607597,baseline
0.02000066668888963,0.7393451045323396,baseline
0.030001000033334446,0.7693729072876478,baseline
0.04000133337777926,0.9726640484778037,baseline
0.05000166672222407,0.9289847521205419,baseline
0.06000200006666889,0.9748927162893114,baseline
0.0700023334111137,0.9209752690942851,baseline
0.08000266675555852,1.0291848238272192,baseline
0.09000300010000334,1.1990273166925516,baseline
0.10000333344444814,0.9850882551810509,baseline
0.11000366678889296,1.130811280015582,baseline
0.12000400013333778,1.0317432779171019,baseline
0.1300043334777826,1.0177457054585006,baseline
0.1400046668222274,0.9574599170783809,baseline
0.15000500016667223,0.8750861151147677,baseline
0.16000533351111704,1.0044354907217976,baseline
0.17000566685556184,0.6904870423733526,baseline
0.18000600020000668,0.7182396599549906,baseline
0.19000633354445148,0.8420963780556818,baseline
0.2000066668888963,0.6248548099449236,baseline
0.21000700023334112,0.6489509178569686,baseline
0.22000733357778593,0.6191287429928265,baseline
0.23000766692223074,0.5373602704265251,baseline
0.24000800026667557,0.5457888928071528,baseline
0.25000833361112035,0.5396446563285078,baseline
0.2600086669555652,0.5985442111884558,baseline
0.27000900030001,0.4230674372803877,baseline
0.2800093336444548,0.5060841733593967,baseline
0.29000966698889963,0.44228621371591753,baseline
0.30001000033334446,0.45463537878973587,baseline
0.31001033367778924,0.3442084570054803,baseline
0.3200106670222341,0.14733305778730338,baseline
0.3300110003666789,0.4162622089526183,baseline
0.3400113337111237,0.3414474440421882,baseline
0.3500116670555685,0.4837937535789312,baseline
0.36001200040001335,0.3674792795121716,baseline
0.37001233374445813,0.6085550169141388,baseline
0.38001266708890297,0.5274046535269639,baseline
0.3900130004333478,0.2944510348133538,baseline
0.4000133337777926,0.5865346679444776,baseline
0.4100136671222374,0.39676210220991237,baseline
0.42001400046668225,0.37209552706852145,baseline
0.430014333811127,0.14556734826579237,baseline
0.44001466715557186,0.10799033200170165,baseline
0.4500150005000167,0.07516205383553495,baseline
0.46001533384446147,-0.039926051097086995,baseline
0.4700156671889063,-0.20012787144250063,baseline
0.48001600053335114,-0.03626691676490362,baseline
0.4900163338777959,-0.18944046490791158,baseline
0.5000166672222407,-0.2750337643777088,baseline
0.5100170005666855,-0.47400520615373476,baseline
0.5200173339111304,-0.5916723816708566,baseline
0.5300176672555752,-0.702658333385933,baseline
0.54001800060002,-0.7410996339141842,baseline
0.5500183339444649,-1.067695866791503,baseline
0.5600186672889096,-1.1915189782703908,baseline
0.5700190006333544,-1.0419431454891706,baseline
0.5800193339777993,-0.9374999539399067,baseline
0.5900196673222441,-1.2177545216139842,baseline
0.6000200006666889,-1.0690305789838825,baseline
0.6100203340111338,-1.270469444407425,baseline
0.6200206673555785,-1.3805948050039427,baseline
0.6300210007000233,-1.235523521404148,baseline
0.6400213340444681,-1.3396836043310187,baseline
0.650021667388913,-1.337893829329139,baseline
0.6600220007333578,-1.1851319345112226,baseline
0.6700223340778025,-1.2133654691293847,baseline
0.6800226674222474,-0.9982827113541706,baseline
0.6900230007666922,-0.8873820144709448,baseline
0.700023334111137,-0.7368789489571906,baseline
0.7100236674555819,-0.6796153844923406,baseline
0.7200240008000267,-0.5498390262014268,baseline
0.7300243341444714,-0.5065342651323157,baseline
0.7400246674889163,-0.2727798777004322,baseline
0.7500250008333611,-0.17158539915360924,baseline
0.7600253341778059,-0.06615526454278936,baseline
0.7700256675222508,-0.011799577147032447,baseline
0.7800260008666956,0.2602109661736403,baseline
0.7900263342111403,0.35360738889860466,baseline
0.8000266675555852,0.4203059988413449,baseline
0.81002700090003,0.7392036398449515,baseline
0.8200273342444748,0.7779491778780326,baseline
0.8300276675889197,0.904017868070117,baseline
0.8400280009333645,1.011358360102369,baseline
0.8500283342778092,1.1863624868929252,baseline
0.860028667622254,1.1659594682277088,baseline
0.8700290009666989,1.1018518435827065,baseline
0.8800293343111437,1.2631649489220262,baseline
0.8900296676555886,1.3131111214497089,baseline
0.9000300010000334,1.3733108121811521,baseline
0.9100303343444781,1.184025575334964,baseline
0.9200306676889229,1.2961171541865943,baseline
0.9300310010333678,1.1422447880108837,baseline
0.9400313343778126,1.0071936685386327,baseline
0.9500316677222574,0.8233522179423594,baseline
0.9600320010667023,1.0124468173210224,baseline
0.970032334411147,1.1872735788854987,baseline
0.9800326677555918,0.8555305237599038,baseline
